Наименование,Цена,ссылка
"Лазерный проектор 60 рисунков. Со встроенным аккумулятором. С пультом управления. Стробоскоп. Диско, Светомузыка для дома",2279,https://www.ozon.ru/product/lazernyy-proektor-60-risunkov-so-vstroennym-akkumulyatorom-s-pultom-upravleniya-stroboskop-379649164/?advert=E41SCvWsLLjN68jt9HUj6yKU0jUviyfEVYvkGb1Zu81ozJqM1boFrqZgkxrmA33aP4hYbvnIhTlU9kzGZ4T8uEm4dP9uVjAjOIKevoEkrve9EptIxZIOd4BlHUVc4MJM95zP2q4v5ieArVcCDOK3mfxacRQbq4VVQWA2rPdWttz_gO80Q7I-iEN4Zd4OmtR6lO-PADOLUmCV8NylEeZEuCG_W28v_T6mGuT0oz415VdxQe5dXyPJyH907QwbqBFe8bVFeMsg-xHva9jlzpA5YlqUDgpn&avtc=1&avte=4&avts=1724187280
Лампа светодиодная TOKOV ELECTRIC А60 Е27 25ВТ 6500K,281,https://www.ozon.ru/product/lampa-svetodiodnaya-tokov-electric-a60-e27-25vt-6500k-1642945265/?advert=JSa4q-IfGf_jmMeT1QvEeB0Ymz7LDwMnvLCMKm5QApLnhskcbwqXHUf30Yrjoa4F_x6LzY2j5w1gCZwP-MGuRboQRATqnILetxJOPyMJV3qZYQSm_6e6o_xH0KtQDo4jsq8RrCaAqpFPuTnymk2ms2VdVLYgD2VE2eRTbIFJcT3_Xrx-2LydrQD0bFOhRBPasWU3KlrqfqFjrQD2ZT6gsBpIeABTypa1MmpvXD1lYh3c9pSLahnTvyQKE85jl8drVul8bq8sdPbRXwd5nyFv1PAYt6SE-w&avtc=1&avte=2&avts=1724187280
"FAVOR Лампочка FAVOR-15WT, Теплый белый свет, 15 Вт, Накаливания, 2 шт.",162,https://www.ozon.ru/product/favor-lampochka-favor-15wt-teplyy-belyy-svet-15-vt-nakalivaniya-2-sht-1454670008/?asb=jLPFbwcWjOc%252BdgpYKRd9yOM96URqb1mFIYCgUOtRh70%253D&asb2=U2FGkXp97d3qO6zivpcUkn1BsvrCS6LUEJuKLxnhRtjai_FRW8SOLAN_pu00-ciMWpb-1wLJvyG4PTsHJS1mqJLVk1FCfWv8FVQMY2Og18YlHOtGJSlII_YZ2LPEX8M8NNokUOmpJhR7SYvSsl1crcEU-GJbdQX5LJyQkquqvDc&avtc=1&avte=2&avts=1724187280
Светильник на солнечной батарее уличный,2152,https://www.ozon.ru/product/svetilnik-na-solnechnoy-bataree-ulichnyy-1645478820/?asb=ZrOjNylhxMC%252BMY8VCzF64yy6W%252F3GZca0MVMmhG6ivfs%253D&asb2=LzVPmYVFKhi52R7apQeLLWVYx1aQIMmBwRxIfvWB3eVFhOlA93IaHCCOqd8o7WxAtthLWOilf8wtNgISw-zJOg&avtc=1&avte=2&avts=1724187280
"Люстра потолочная, LED",9130,https://www.ozon.ru/product/lyustra-potolochnaya-led-1627338160/?advert=Spk8Fsp8dumLgflU2vfOEzYhXnXEuQdZFs9CaqjBQY_qkL8-JAX0Cg2M7BZwYhw8PS3Z2cqqaIx-S01RSs9YtyOO4MIEg5GfjixKWWNX-BtWB8eBn68ibWBgQurQ1Y2fLGWSB4hcRwRTNHUpmKs0g7wgjlnuWSlVncR3w8YxvpuXj4_Cto0IEcGbK_KrluPr_MRhYLnZRYJAIuRIcs0YHRP5oEBdcXrAu9ccOmp96zvdKWYF3NSY57KjmPv2I85Wyc6wwOYLZ18ytPXzJhnii15APhCwkTlO0MoI&avtc=1&avte=2&avts=1724187280
Светильник ночник с маркером для рисования светодиодный,122,https://www.ozon.ru/product/svetilnik-nochnik-s-markerom-dlya-risovaniya-svetodiodnyy-1551604364/?asb=9syzxO3y7Wo5yq24MzRDyvwi9KVEDmSdpg4NAHGJ%252BQQ%253D&asb2=SconBMpYSakf15bS34Ng7t_RaweV3CVWcHT7rNy3sJXYQWt8N6p_kJKTTocl8CQCVbZRBSj9IscKK4GaMDO-ZA&avtc=1&avte=2&avts=1724187280
"Светильник уличный с датчиком движения настенный беспроводной прожектор для дома, дачи, 100 LED",292,https://www.ozon.ru/product/svetilnik-ulichnyy-s-datchikom-dvizheniya-nastennyy-besprovodnoy-prozhektor-dlya-doma-dachi-100-led-1265704864/?asb=v6Rkx3wWvV9JkBBOjBnE6h4y9d4LkPLcXrcnCj702dI%253D&asb2=R6dSF9Y0UhsC9BlNZoXafGVL3oWUWK0-qu4VTSiST-OUqvDJmfFdPeLU4QKLiN6DuQhK4L0_C2mXwmW8WlsXsQ&avtc=1&avte=2&avts=1724187280
"Люстра потолочная, Без цоколя, 80 Вт",3645,https://www.ozon.ru/product/lyustra-potolochnaya-bez-tsokolya-80-vt-1638354946/?advert=rPrJiKG2kyqgjh3RKgtBFor7jr82xezmmk6g5cxua01yNyyzXnP0Ct9oO4VQjhWZ1IOL9NCL8sUcDVTXAKNUNMK5Qpp-WvCIQqZc_Z2mewTr2tuyKVZb7N1eqapBQgQpXhCzbG6i5R_ZzMx8iiR5qe2HmMJvxTFxMegDVSEPfvKNqs0RXlTiZgmIyJ85ZZHerYPbHEt9EReAyrdJu54l5_Qn6uqPjVUNCEyBktGLnO-Gu-SDRGu1oG2xjDYl4tcAbirQa9FFQZdklZNhigJ9pD80HeK-yuC7ef9A&avtc=1&avte=2&avts=1724187280
"SteelStar Светодиодная лента, 12 , IP65, 60 LED/m",338,https://www.ozon.ru/product/steelstar-svetodiodnaya-lenta-12-ip65-60-led-m-239219632/?asb=YFEmGMRUVIKz2wTbrtUe0%252BfFH6QqIm4x4j3bJTTDEPY%253D&asb2=xN7KEsHeE7iZJzFka6EFvNcUIWo56Tprss7BzzUAAE0MxXDPZF8zbdCIjQ2jLc_ZnUp0CNIIKKaWoxPTr5A4pgrj63cO0NwZiHrac-GaI_MXpgOVuvZgHjtwNUToSpDLfp0CEfi7febtBPO3fff72Xz948ELQB-zykxz1H5qioI&avtc=1&avte=4&avts=1724187280
Лампочка накаливания винтажная для декора E27 40w / Лампа Эдисона форма груша ST64,331,https://www.ozon.ru/product/lampochka-nakalivaniya-vintazhnaya-dlya-dekora-e27-40w-lampa-edisona-forma-grusha-st64-994900670/?asb=GyegOtKDxKnjGU0%252BasvBgr%252Fw1Vv1XK2f9glXUYV%252B2a8%253D&asb2=kVYkLjtIQA2RTLG1eLItLcSQev-tPHC4LAumi_HJvo9sYqCASmhb0JRhY9L4FSNCkTgzoCcOSD656vwlo1OWyQ&avtc=1&avte=2&avts=1724187280
"Светильник на солнечной батарее уличный, Аккумуляторный, С датчиком движения, Водонепроницаемый, Мощный",2006,https://www.ozon.ru/product/svetilnik-na-solnechnoy-bataree-ulichnyy-akkumulyatornyy-s-datchikom-dvizheniya-1555276465/?advert=ueTh2ji4KXJAN1I4oYxBSbHMAWXHi7O1yO15g9aovAUI4JXTxiCN69mSt1ncw3HH3PjqulrOutllwoXW9YBuc0XFInfdOGha2ZgHpQ7YQcXKHJslPJaWb5L8JqLOo5DNcij9P-6DwRQRgX50NZsMUrcHlvx7ZrgZ-28DM7DUgNLjAZMxy-6DeodNYkGAM-hmKLxU3xH-fZan67xlziulQSeF_7mLQevOqKiOnIi9hvfSvFgUx6evNqolwhLHvv4tivAw8SDM3o4i5NYuhPWlUw7lrA7798wzBzoj&avtc=1&avte=2&avts=1724187280
Solar Lamp Прожектор 7000 К,293,https://www.ozon.ru/product/solar-lamp-prozhektor-7000-k-231808074/?asb=Rso0h7EB%252FSrAZDpp%252BQXxRVxGaFQSyJs5T1jqjk6y54o%253D&asb2=OfMLNUsHkzmWdc2RXBalU-rxbwzqX4EtuacPWXRcKV3d5UqpZLZvqphYd82J1odgROWz2NLx-MfCEp9ncwajQw&avtc=1&avte=2&avts=1724187280
Лампочка Econ PL 11 Вт 2G7 4200K,171,https://www.ozon.ru/product/lampochka-econ-pl-11-vt-2g7-4200k-399201683/?asb=lcSgz19PsxwV9qz8L9aqgPBckate3mgE2kCj%252FBuS6uc%253D&asb2=m5BIznfwN5Sw0Dm40AUBpyurtLzFL_PhCe0-lT51h3_lOx11d7omJaD-JvWpCPhLpUwkwj8TnD4qOM4UibxefQ&avtc=1&avte=4&avts=1724187280
Шинопровод трековый 1 м черный / Feron CAB1005 41731,590,https://www.ozon.ru/product/shinoprovod-trekovyy-1-m-chernyy-feron-cab1005-41731-588926242/?advert=irDrLT6uVhxlDU6uNlo3-v9ygdYp_qGYTcfUXamCH8Td_H5BIj32_rAt7l10zEgQFixOlqDgtrH2d4z6aNqAlJsHdVWhc4n1zH-upXnduYXbyTbK110WxukV8EVXb8vKlE-84B5p0iSKVjLEsE0WZoIqX0N0OVv_WvjlvERAh_cFLmnFd8iV2KDz7sjRyNQDUTfv3C4ooFIM-Fce_MSgzrotUnxHa3MFbrEXSvtyV_MOdy0cpNnU74sFS60e3SFICcRivNrSOSbfnBHPV6kGYpsmQjQPuH-X8sA&avtc=1&avte=4&avts=1724187280
Ночник проектор звёздного неба космонавт,814,https://www.ozon.ru/product/nochnik-proektor-zvezdnogo-neba-kosmonavt-1620762909/?asb=fcwzcsxr7URWOOL%252BXE336UhNCXJwjAULbd0KzgSDAyk%253D&asb2=wdIievQ3Is9aFvoQyq_hAxgPcVDAQuy2CMg0S1qZ0RCDwe0ygY4kD9PmAi79D2UJsICxztR5TVwADuegz_Gpkg&avtc=1&avte=4&avts=1724187280
"Ночник с маркером / светильник беспроводной, подарок ребенку",460,https://www.ozon.ru/product/nochnik-s-markerom-svetilnik-besprovodnoy-podarok-rebenku-1451479344/?asb=oyPkYtCknU%252FFDF3oTgjE7p84hmwEI7EYt8h58GlJjeY%253D&asb2=kONnMNyk36Wx0rF31LAvDKcfvnAQvjJsEFqrcvdYq6OyLMIy0Elynqk24wEmFPLA9AaU9qgGeBFNrCJSTbg5Zctl5byPuhqy0IKCcqbTH6RQkYAq8tvD3pe8RU9VI4BXKt_1QK0R_7QjHX79PkBekvqwCDGtiYMgVt_dZ7Ue8wc&avtc=1&avte=2&avts=1724187280
"Riclend Лампа настольная, лампа настольная светодиодная на струбцине, двойная",3417,https://www.ozon.ru/product/riclend-lampa-nastolnaya-lampa-nastolnaya-svetodiodnaya-na-strubtsine-dvoynaya-1651301283/?advert=yu35iMYoP5h_BoNAjvyMNZYVksbbwpCgll9_krWMqsvr7PTGUdDyfVXGUhARLTYZXxv3Vd7A79YX2zLSmkazwKPvRO7Gg55XViVxJUp5oY0BNMfU6_lnVUyY8G8TRoo7skcSJsweRlPcNcP-sM207cv1UlPcbKuMTZ-IUK9ettlw62OGN64-IqV0dQ-2FEbe70-Q9UvDYxMHBk-vwpRZyDYRB1pJzWNEAg0PQyPLrxQnnimjK3YyPMnjSyaPDJ2uVX9e-xADcxeGP9jKmYMILypH3Yz3BcqrDh8K&avtc=1&avte=2&avts=1724187280
"Лампа накаливания Rezer 15Вт E14 для холодильников, швейных машин, светильников",174,https://www.ozon.ru/product/lampa-nakalivaniya-rezer-15vt-e14-dlya-holodilnikov-shveynyh-mashin-svetilnikov-945872041/?asb=M4ONFSimXRPINnQgVOTWjaBau%252BbsCbQlG5ip9PaSTf0%253D&asb2=3bQhKC3fV0I5Bb4yDO7ROGDWiU8UaUKZxfSOjXr1dkGtpryhQliWMqw0uR5prLzK2omOOUm3mwEs53dtW0KrYrlgTd-pqm7gJ_pvMOFMMqnNk_JoY8JfC3w5igi_FjvqHH3F1F7sEXFVZi4tk_M7wBYVUyvgTzacalfqqyUQI6c&avtc=1&avte=2&avts=1724187280
"Беспроводной светодиодный светильник, ночник, лампа с датчиком движения. LED.",299,https://www.ozon.ru/product/besprovodnoy-svetodiodnyy-svetilnik-nochnik-lampa-s-datchikom-dvizheniya-led-816426705/?asb=Jo%252BQYb9SvAdueYcsaGP%252FEoYLBmr4vs2k0ucf8vAI%252BqI%253D&asb2=juXqXTrYk6i_uw9urOoROAYmDYnFvKf3YVs_a0uckyUN9PRMH0TC8lzZ-ETr5Rf2ljI89s6P3dNyx_NLBQc27Q&avtc=1&avte=2&avts=1724187280
"Светодиодная лента, 20м, с пультом, 24В, 320 LED, IP20, 16 LED/м, RGB",1090,https://www.ozon.ru/product/svetodiodnaya-lenta-20m-s-pultom-24v-320-led-ip20-16-led-m-rgb-1142438684/?advert=YaMRChcBKQ4D7P0VKnrTLmnJ2Ut3RqIlaWkv1-6MbiuUbnqzYEX0B8qhV7EBgDXoGKf8V0SHNcQHt91H8svu-R4rb_Uk2z49mN3BHLQu-U_OoaIl_ApsSXni8BLZnRNIPF5OoHMQ1qrh9Kmi1t7HElO5-jC8bCcAkLpdzDAqY0flcRX0waPm_ofQMfLMOHDqn7FmMvSEQP9kJ8oxOLnp9TJBgkpQXdyLpWpzUMljZprKW2_y2UepRrWF9zu5-Qem1MwEO7Z_0vp9-U5E7Yf1TOwUskUhKxy8mq8D&avtc=1&avte=2&avts=1724187280
RGB светодиодная лампа 360 / напольный LED светильник 160 см,1617,https://www.ozon.ru/product/rgb-svetodiodnaya-lampa-360-napolnyy-led-svetilnik-160-sm-1225432883/?asb=B%252BhJNd3ZHLfdoleGvTTwMxXEZ8B1N1BAmj0dBJwNU8c%253D&asb2=2jazl_PYE8eSsm2FEKIBfmG15srZ13MW6O8KjsOtNSIqBH0u73eT1LqNKXFfF6Rq9dt1n_hSEzfJevs22TOW1w&avtc=1&avte=4&avts=1724187280
"GARDEN SHOW Светильник переносной с патроном Е27 с выключателем, 3 метра",166,https://www.ozon.ru/product/garden-show-svetilnik-perenosnoy-s-patronom-e27-s-vyklyuchatelem-3-metra-812332299/?asb=zUNDwTl8kIcGcDG272aKUXSY8wpMhwblKyIlkbxkYcU%253D&asb2=iQZmOJ5InbdhmIEqJqCVAnMq0FiN7KfXMbgJ2YBtsoEObDPHMhwMXVeASQ9zk48JSr3TGqQJK0oeQyvGNnpC43nm5auv8Bskr3CzRKOz2KQU7tHolAPLVoBzpDnmG3RVpgd-GyKXoa5OnhaGWNB2_qmyymggukn5PF1tVD1l2ZE&avtc=1&avte=2&avts=1724187280
"ПрофиБаня Светодиодная лента, 24 , IP68, 180 LED/m",2257,https://www.ozon.ru/product/profibanya-svetodiodnaya-lenta-24-ip68-180-led-m-589190781/?advert=etp32db0uCdf9aUlYGl-cDoN9f9on6h-6SwCBkurX9ZNJ9vV0RDe_fQ7DLHTdj-afLXPe5NXnYAJDh2f-_vpdi6gPSb4xMj21niUJlZ04XLOb4HT9YZM0nE8_DuXK8ZWPAFdf6LN6FQqSAeVUEnVvbI6lCZ4j9V_icSU1JHfXMpGs0opX41oy1omdFY7237BhsdOLro57o1O9g5y9f4uBhbD7j-IMLQYWkwWRvlvGVCUjkr5OHZETxi8rVW0sfLRPTqyGnTIrlaG_pbMFE1q-UsGVskQNLM-pOUi&avtc=1&avte=4&avts=1724187280
"Беспроводной умный светильник с датчиком движения, LED, USB зарядка в комплекте",204,https://www.ozon.ru/product/besprovodnoy-umnyy-svetilnik-s-datchikom-dvizheniya-led-usb-zaryadka-v-komplekte-1407944460/?asb=Zk9s%252FZjWXYh3xguciU6xm7MEUZHlJDV9pbrvZYPp210%253D&asb2=lr4GqUNgNM4PYMtRVHMSrtqprTYzpttVruZIQ9B-2RzdONuxKH_p6fXcBrYtbQW_FKhEidYbDWS5lP4WrrI-9g&avtc=1&avte=2&avts=1724187280
"Беспроводной светодиодный LED светильник, ночник, лампа с датчиком движения на аккумуляторе (аккумулятор Li-ion 900 mAh и USB шнур в комплекте)",218,https://www.ozon.ru/product/besprovodnoy-svetodiodnyy-led-svetilnik-nochnik-lampa-s-datchikom-dvizheniya-na-akkumulyatore-560800928/?asb=UbAUAe7tP2am9P%252BY%252B%252B0kQqk9cZcE5RvD9MarUPZBalM%253D&asb2=LXV30_AauviqTBHwaq-Upg11qqfEK-UD6wZdCedYihel3fDR_0nnyCQOgchcsZn_eDEFHqQNJB5-tSfrIi4Lrg&avtc=1&avte=2&avts=1724187280
Светильник настенный светодиодный,960,https://www.ozon.ru/product/svetilnik-nastennyy-svetodiodnyy-1224221011/?advert=Y9BCx1txMNHhXSyz3PueEk83y9_o6TolIvfvvIVa1LHvYoqN6DpYB7H6QIRq9bIoboFiziIRAVELrZKAMO2t0MG7YLCOC9tJOGPfReT4qMo-0DD-kO3h_pwia9Wu5fr3lHYgb3nj9dqPYrCUEfdJdSNd1w6YUbygQ1QT9NfTvBrZQUgWQmZNsIhOEiCsbRj_3t5YoTjsPls2RzBAsldL_3OOTs1HmaOnKBFkkVCbE1mgJh8NTU7uTDPr8SRpB8bwFghT1GvYHGNlB98LqjWmdokr-7J8HGDAHyOc&avtc=1&avte=4&avts=1724187280
 , , 
######,######,######
 , , 
Диван Льери Мини Velvet Light,64 990руб.,https://www.divan.ru/product/divan-leri-mini-velvet-light
Диван Нумо Velvet Yellow,36 990руб.,https://www.divan.ru/product/divan-numo-velvet-yellow
Диван Тут Рядом Дом Серо-графитовый,72 990руб.,https://www.divan.ru/product/divan-tut-ryadom-dom-sero-grafitovyj
Диван угловой Эби-1 Velvet Coral,72 990руб.,https://www.divan.ru/product/divan-uglovoj-ebi-1-velvet-coral
Диван Бонент Velvet Eclipse,74 990руб.,https://www.divan.ru/product/divan-bonent-velvet-eclipse
Диван угловой Ройн Мини Velvet Olive,39 990руб.,https://www.divan.ru/product/divan-uglovoj-rojn-mini-velvet-olive
Диван Нумо Мини Textile Yellow,24 990руб.,https://www.divan.ru/product/divan-numo-mini-textile-yellow
Диван Тут Рядом Космос Светло-Бежевый,109 990руб.,https://www.divan.ru/product/divan-tut-ryadom-kosmos-svetlo-bejevyj
Диван Линс Velvet Navy Blue,32 990руб.,https://www.divan.ru/product/divan-lins-velvet-navy-blue
Кресло Тут Рядом Дом Сине-бежевый,50 990руб.,https://www.divan.ru/product/kreslo-tut-ryadom-dom-sine-bejevyj
Диван угловой Эдвин Velvet Smoke,72 990руб.,https://www.divan.ru/product/divan-uglovoj-edvin-velvet-smoke
Диван Бруквиль Velvet Blue,49 990руб.,https://www.divan.ru/product/divan-brukvil-velvet-blue
Диван Байма Velvet Grey,69 990руб.,https://www.divan.ru/product/divan-bajma-velvet-grey
Диван Спейс Velvet Beige,62 990руб.,https://www.divan.ru/product/divan-spejs-velvet-beige
Диван угловой Беллер Textile Yellow,40 990руб.,https://www.divan.ru/product/divan-uglovoj-beller-textile-yellow
Кресло Бенел Cozy Ivory,33 990руб.,https://www.divan.ru/product/kreslo-benel-cozy-ivory
Диван Нумо Velvet Grafit,36 990руб.,https://www.divan.ru/product/divan-numo-velvet-grafit
Кресло-кровать Маре Мини Velvet Grafit,20 990руб.,https://www.divan.ru/product/kreslo-krovat-mare-mini-velvet-grafit
Диван Клаймар Velvet Beige,56 990руб.,https://www.divan.ru/product/divan-klajmar-velvet-beige
Пуф Тут Рядом Дом Серо-графитовый,15 990руб.,https://www.divan.ru/product/puf-tut-ryadom-dom-sero-grafitovyj
Диван Марей Soft Grey,89 990руб.,https://www.divan.ru/product/divan-marej-soft-grey
Диван Сваут Velvet Grey,64 990руб.,https://www.divan.ru/product/divan-svaut-velvet-grey
Кресло Бенел Cozy Beige,33 990руб.,https://www.divan.ru/product/kreslo-benel-cozy-beige
Диван Линс Velvet Grafit,32 990руб.,https://www.divan.ru/product/divan-lins-velvet-grafit
Диван Лесли Velvet Mint,46 990руб.,https://www.divan.ru/product/divan-lesli-velvet-mint
Диван угловой Аронт Мини Velvet Pink,56 990руб.,https://www.divan.ru/product/divan-uglovoj-aront-mini-velvet-pink
Диван Рейли Velvet Coral,30 990руб.,https://www.divan.ru/product/divan-rejli-velvet-coral
Диван угловой Вайвел Barhat Forest,89 990руб.,https://www.divan.ru/product/divan-uglovoj-vajvel-barhat-forest
Диван Бруквиль Velvet Smoke,49 990руб.,https://www.divan.ru/product/divan-brukvil-velvet-smoke
Диван Коренс Happy Grey,29 990руб.,https://www.divan.ru/product/divan-korens-happy-grey
Диван угловой Шера Velvet Light,99 990руб.,https://www.divan.ru/product/divan-uglovoj-shera-velve-light
Диван Види Textile Ocean,23 990руб.,https://www.divan.ru/product/divan-vidi-textile-ocean
